nom_depto;depto;nom_mun;codigo;NBI1993;NBI2005;HDCT93;HDCL93;HDCT2005;HDCL2005;TMI2005;TMI2016;VA2011;VA2015;CON2018;SUB2018
ANTIOQUIA;5;Cocorná;5197;62,07553975;36,23086645;7,84;76,52;2,11;60,49;18,05;16,94080632;119,3293658;109,3051091;0,162462362;0,738507862
ANTIOQUIA;5;Concepción;5206;51,70660857;25,94644506;0,83;77,05;1,5;57,47;15,92;13,22882143;37,0000893;40,44616913;0,194579781;0,876065773
ANTIOQUIA;5;Concordia;5209;49,64493854;39,21982466;4,46;58,6;3,87;47,47;22,15;19,93618092;257,6935813;200,1873946;0,155059582;0,663948037
ANTIOQUIA;5;Copacabana;5212;20,89686099;9,752891229;5,86;26,49;2,92;7,41;9,86;8,731406536;625,1617446;866,5988801;0,603283021;0,219531196
ANTIOQUIA;5;Dabeiba;5234;72,86267099;66,48931523;6,74;64,5;15,3;42,84;36,72;23,47677145;135,656503;243,217504;0,079478771;0,869347601
ANTIOQUIA;5;Don Matías;5237;23,98030365;18,72080048;10,61;34,14;7,53;27,4;14,31;13,24468011;225,7409046;331,5447483;0,554870955;0,26843035
ANTIOQUIA;5;Ebejico;5240;48,2443974;42,51936404;0,57;54,11;2,09;48,03;17,03;16,32832736;98,43884102;106,0310265;0,143679539;0,560725993
ANTIOQUIA;5;El Bagre;5250;63,78077222;50,75461319;18,18;65,54;12,26;60,17;22,32;20,00443274;397,4350564;670,9383006;0,185979857;0,924147128
ANTIOQUIA;5;Entrerrios;5264;23,37581598;15,26412772;1,14;59,47;1,25;30,54;16,3;14,61614911;88,06377828;239,2665283;0,619047619;0,232435597
ANTIOQUIA;5;Envigado;5266;9,154323189;5,430318649;3,56;9,92;4,53;5,38;7,84;6,176796568;3939,002034;6651,85134;0,732068715;0,066950619
ANTIOQUIA;5;Fredonia;5282;31,61144648;24,51822996;2,71;36,26;7,09;25,52;15,41;13,69244969;193,6222884;236,4666416;0,329558803;0,347836301
ANTIOQUIA;5;Frontino;5284;54,44223548;44,36635515;4,65;60,06;10,86;36,51;22,09;19,03460349;113,1377104;144,8455946;0,169227886;1,159732634
ANTIOQUIA;5;Giraldo;5306;53,85749386;47,37859386;2;74,16;5,52;42,7;34,05;29,95863833;72,93986622;31,87343283;0,207164329;0,862975952
